,FGM,FGA
2018Jamal Murray,3,4
2018Dejounte Murray,9,14
2018Shabazz Muhammad,4,6
2018Emmanuel Mudiay,10,24
2018Timofey Mozgov,5,5
2018Johnathan Motley,1,2
2018Markieff Morris,10,15
2018Jaylen Morris,0,0
2018Eric Moreland,9,11
2018E'Twaun Moore,9,15
2018Greg Monroe,3,4
2018Malik Monk,1,4
2018Donovan Mitchell,21,24
2018Nikola Mirotic,12,24
2018Paul Millsap,12,25
2018Patty Mills,0,0
2018Malcolm Miller,0,0
2018Darius Miller,1,2
2018CJ Miles,4,4
2018Khris Middleton,7,7
2018Jordan Mickey,1,6
2018Salah Mejri,12,17
2018Jodie Meeks,0,1
2018Ben McLemore,8,10
2018Alfonzo McKinnie,0,0
2018Rodney McGruder,1,1
2018JaVale McGee,29,29
2018Doug McDermott,4,5
2018Chris McCullough,3,5
2018CJ McCollum,1,1
2018Patrick McCaw,1,1
2018Luc Mbah a Moute,2,3
2018Wesley Matthews,0,0
2018Frank Mason III,0,0
2018Jarell Martin,7,10
2018Lauri Markkanen,12,26
2018Boban Marjanovic,8,9
2018Thon Maker,9,18
2018Ian Mahinmi,17,17
2018Josh Magette,0,2
2018Shelvin Mack,0,0
2018Trey Lyles,6,14
2018Timothe Luwawu-Cabarrot,1,2
2018Kyle Lowry,0,0
2018Kevin Love,1,1
2018Robin Lopez,16,17
2018Brook Lopez,18,19
2018Kevon Looney,13,16
2018Shaun Livingston,7,7
2018Damian Lillard,1,1
2018DeAndre Liggins,0,0
2018Jon Leuer,2,2
2018Meyers Leonard,2,2
2018Kawhi Leonard,1,2
2018Alex Len,41,50
2018Damion Lee,0,0
2018Courtney Lee,2,4
2018Caris LeVert,9,15
2018Jake Layman,0,0
2018Joffrey Lauvergne,8,9
2018Shane Larkin,2,2
2018Jeremy Lamb,3,5
2018Skal Labissiere,29,33
2018Zach LaVine,4,11
2018Kyle Kuzma,8,10
2018Kosta Koufos,13,13
2018Kyle Korver,1,2
2018Luke Kornet,2,2
2018Furkan Korkmaz,1,1
2018Maxi Kleber,21,22
2018Sean Kilpatrick,0,0
2018Michael Kidd-Gilchrist,12,16
2018Luke Kennard,3,5
2018Frank Kaminsky,8,8
2018Cory Joseph,0,0
2018DeAndre Jordan,109,129
2018Tyus Jones,0,1
2018Jalen Jones,0,1
2018Damian Jones,3,4
2018Nikola Jokic,3,4
2018Wesley Johnson,1,1
2018Tyler Johnson,3,4
2018Stanley Johnson,3,4
2018Omari Johnson,0,0
2018Joe Johnson,11,21
2018James Johnson,13,15
2018Dakari Johnson,0,1
2018Brice Johnson,1,1
2018Amir Johnson,11,13
2018Jonas Jerebko,2,2
2018Brandon Jennings,0,0
2018Richard Jefferson,1,1
2018Al Jefferson,0,0
2018LeBron James,31,33
2018Reggie Jackson,0,4
2018Justin Jackson,2,2
2018Josh Jackson,15,18
2018Demetrius Jackson,0,0
2018Jarrett Jack,0,0
2018Wes Iwundu,1,1
2018Jonathan Isaac,3,4
2018Kyrie Irving,0,0
2018Brandon Ingram,11,13
2018Andre Ingram,0,0
2018Joe Ingles,2,2
2018Ersan Ilyasova,0,0
2018Andre Iguodala,3,5
2018Serge Ibaka,11,11
2018Josh Huestis,6,7
2018Dwight Howard,137,152
2018Al Horford,28,39
2018Rodney Hood,1,6
2018Richaun Holmes,13,16
2018Rondae Hollis-Jefferson,27,62
2018John Holland,0,2
2018Justin Holiday,3,3
2018Jrue Holiday,8,23
2018Darrun Hilliard,0,0
2018Solomon Hill,0,0
2018George Hill,2,2
2018Buddy Hield,3,3
2018Isaiah Hicks,0,1
2018Mario Hezonja,4,5
2018Willy Hernangomez,5,6
2018Juancho Hernangomez,0,0
2018John Henson,70,78
2018Myke Henry,1,4
2018Nigel Hayes,0,1
2018Udonis Haslem,0,0
2018Josh Hart,1,1
2018Shaquille Harrison,4,5
2018Andrew Harrison,0,0
2018Aaron Harrison,0,0
2018Tobias Harris,6,15
2018Joe Harris,3,8
2018Gary Harris,7,7
2018Devin Harris,0,0
2018Montrezl Harrell,16,28
2018Maurice Harkless,9,13
2018James Harden,8,16
2018Blake Griffin,12,18
2018Jeff Green,19,25
2018JaMychal Green,30,43
2018Gerald Green,6,8
2018Draymond Green,10,15
2018Danny Green,0,1
2018Josh Gray,0,0
2018Jerian Grant,0,0
2018Jerami Grant,31,40
2018Treveon Graham,0,0
2018Marcin Gortat,10,13
2018Eric Gordon,2,2
2018Aaron Gordon,43,46
2018Rudy Gobert,104,113
2018Manu Ginobili,2,5
2018Taj Gibson,20,29
2018Marcus Georges-Hunt,1,3
2018Paul George,11,12
2018Rudy Gay,15,18
2018Pau Gasol,8,8
2018Marc Gasol,12,15
2018Langston Galloway,0,0
2018Danilo Gallinari,3,9
2018Markelle Fultz,3,4
2018Channing Frye,1,2
2018Enes Freedom,24,27
2018Tim Frazier,2,2
2018De'Aaron Fox,0,13
2018Evan Fournier,3,11
2018Bryn Forbes,0,0
2018Dorian Finney-Smith,2,5
2018Yogi Ferrell,0,0
2018Terrance Ferguson,3,5
2018Raymond Felton,0,0
2018Cristiano Felicio,11,14
2018Kay Felder,1,2
2018Derrick Favors,91,98
2018Kenneth Faried,12,15
2018Dante Exum,0,0
2018Tyreke Evans,2,3
2018Jawun Evans,0,2
2018James Ennis III,8,9
2018Tyler Ennis,1,1
2018Joel Embiid,45,52
2018Wayne Ellington,0,0
2018Henry Ellenson,1,4
2018Kevin Durant,34,39
2018Kris Dunn,0,0
2018Jared Dudley,2,3
2018Andre Drummond,118,139
2018Larry Drew II,1,5
2018Goran Dragic,0,0
2018Milton Doyle,4,21
2018Damyean Dotson,4,5
2018Tyler Dorsey,1,1
2018Spencer Dinwiddie,5,12
2018Gorgui Dieng,1,2
2018Cheick Diallo,5,7
2018Matthew Dellavedova,1,2
2018Malcolm Delaney,1,5
2018Sam Dekker,6,11
2018Dewayne Dedmon,26,29
2018DeMar DeRozan,8,8
2018Ed Davis,22,25
2018Deyonta Davis,39,40
2018Anthony Davis,136,177
2018Troy Daniels,1,5
2018Stephen Curry,0,0
2018Dante Cunningham,8,13
2018Jae Crowder,1,2
2018Jordan Crawford,0,0
2018Jamal Crawford,3,10
2018Torrey Craig,1,4
2018Allen Crabbe,2,6
2018Robert Covington,5,7
2018DeMarcus Cousins,22,31
2018Jack Cooley,1,3
2018Quinn Cook,4,6
2018Pat Connaughton,8,12
2018Mike Conley,1,2
2018Nick Collison,3,3
2018Darren Collison,0,0
2018Kyle Collinsworth,2,5
2018Zach Collins,6,8
2018John Collins,65,84
2018Antonius Cleveland,1,1
2018Gian Clavell,0,1
2018Jordan Clarkson,2,3
2018Ian Clark,0,0
2018Marquese Chriss,23,34
2018Wilson Chandler,8,8
2018Tyson Chandler,43,52
2018Mario Chalmers,0,0
2018Tyler Cavanaugh,2,5
2018Willie Cauley-Stein,65,74
2018Omri Casspi,6,7
2018Alex Caruso,0,0
2018Michael Carter-Williams,3,6
2018Vince Carter,2,2
2018DeMarre Carroll,15,27
2018Clint Capela,106,119
2018Isaiah Canaan,0,1
2018Kentavious Caldwell-Pope,3,3
2018Jose Calderon,1,1
2018Bruno Caboclo,0,0
2018Dwight Buycks,2,3
2018Jimmy Butler,22,36
2018Alec Burks,3,8
2018Trey Burke,4,6
2018Reggie Bullock,1,1
2018Thomas Bryant,1,1
2018Sterling Brown,3,6
2018Markel Brown,0,3
2018Lorenzo Brown,0,1
2018Jaylen Brown,12,12
2018Bobby Brown,0,0
2018MarShon Brooks,2,2
2018Dillon Brooks,3,3
2018Aaron Brooks,0,2
2018Malcolm Brogdon,2,4
2018Corey Brewer,5,6
2018Avery Bradley,2,4
2018Trevor Booker,11,16
2018Devin Booker,1,1
2018Joel Bolomboy,0,1
2018Andrew Bogut,0,0
2018Bojan Bogdanovic,2,3
2018Bogdan Bogdanovic,1,1
2018Eric Bledsoe,7,8
2018Antonio Blakeney,3,4
2018Tarik Black,6,6
2018Nemanja Bjelica,6,7
2018Bismack Biyombo,5,8
2018Jabari Bird,3,7
2018Khem Birch,13,17
2018Patrick Beverley,0,0
2018Davis Bertans,1,1
2018Dragan Bender,3,4
2018DeAndre' Bembry,2,4
2018Jordan Bell,23,32
2018Marco Belinelli,12,29
2018Michael Beasley,23,23
2018Malik Beasley,1,1
2018Bradley Beal,14,17
2018Kent Bazemore,2,2
2018Aron Baynes,17,26
2018Jerryd Bayless,1,1
2018Nicolas Batum,6,6
2018Will Barton,10,18
2018Harrison Barnes,5,6
2018Lonzo Ball,4,5
2018Wade Baldwin IV,0,0
2018Ron Baker,0,0
2018Dwayne Bacon,0,0
2018Luke Babbitt,0,0
2018Omer Asik,2,2
2018Jamel Artis,1,1
2018Darrell Arthur,1,1
2018Trevor Ariza,2,2
2018Ryan Arcidiacono,0,0
2018Carmelo Anthony,6,7
2018Giannis Antetokounmpo,57,63
2018Ike Anigbogu,0,0
2018Ryan Anderson,3,3
2018Kyle Anderson,8,9
2018Justin Anderson,3,4
2018Al-Farouq Aminu,5,6
2018Tony Allen,0,1
2018Kadeem Allen,0,0
2018Jarrett Allen,29,44
2018LaMarcus Aldridge,18,19
2018Arron Afflalo,2,5
2018Bam Adebayo,64,71
2018Steven Adams,105,132
2018Quincy Acy,2,4
2018Alex Abrines,1,6
2019Ivica Zubac,27,33
2019Ante Zizic,4,4
2019Tyler Zeller,3,5
2019Cody Zeller,2,2
2019Trae Young,0,0
2019Thaddeus Young,12,16
2019Nick Young,0,0
2019Guerschon Yabusele,1,1
2019Delon Wright,2,2
2019Christian Wood,7,8
2019Justise Winslow,3,3
2019Robert Williams III,14,17
2019Troy Williams,2,3
2019Marvin Williams,2,2
2019Lou Williams,49,128
2019Kenrich Williams,2,4
2019Johnathan Williams,3,3
2019Alan Williams,1,1
2019Andrew Wiggins,7,8
2019Hassan Whiteside,70,81
2019Derrick White,2,2
2019Russell Westbrook,5,6
2019Thomas Welsh,0,1
2019Yuta Watanabe,0,1
2019Julian Washburn,0,0
2019Brad Wanamaker,0,0
2019Tyrone Wallace,2,6
2019John Wall,1,1
2019Lonnie Walker IV,1,1
2019Kemba Walker,0,0
2019Dion Waiters,2,9
2019Moritz Wagner,0,2
2019Dwyane Wade,4,4
2019Nikola Vucevic,16,18
2019Noah Vonleh,16,23
2019Jarred Vanderbilt,0,2
2019Fred VanVleet,0,0
2019Jonas Valanciunas,21,30
2019Ekpe Udoh,10,11
2019Myles Turner,21,25
2019Evan Turner,4,4
2019Allonzo Trier,11,19
2019Karl-Anthony Towns,33,34
2019Anthony Tolliver,2,3
2019Sindarius Thornwell,0,1
2019Tristan Thompson,11,16
2019Klay Thompson,2,4
2019Lance Thomas,1,3
2019Khyri Thomas,0,2
2019Isaiah Thomas,0,0
2019Daniel Theis,16,18
2019Jared Terrell,0,0
2019Milos Teodosic,0,1
2019Garrett Temple,1,2
2019Jeff Teague,1,1
2019Jayson Tatum,18,59
2019Caleb Swanigan,2,4
2019Edmond Sumner,1,1
2019Lance Stephenson,1,2
2019Nik Stauskas,3,12
2019Omari Spellman,6,10
2019Ray Spalding,3,6
2019Tony Snell,1,1
2019Zhaire Smith,0,0
2019Jason Smith,1,1
2019JR Smith,0,0
2019Ish Smith,0,0
2019Marcus Smart,1,2
2019Anfernee Simons,0,0
2019Jonathon Simmons,0,1
2019Ben Simmons,44,50
2019Pascal Siakam,7,7
2019Iman Shumpert,3,11
2019Landry Shamet,2,6
2019Collin Sexton,1,2
2019Wayne Selden,2,2
2019Thabo Sefolosha,0,0
2019Mike Scott,5,9
2019Dennis Schroder,1,4
2019Tomas Satoransky,3,5
2019Dario Saric,2,2
2019JaKarr Sampson,0,2
2019Brandon Sampson,1,1
2019Domantas Sabonis,24,30
2019D'Angelo Russell,1,1
2019Ricky Rubio,0,0
2019Terry Rozier,1,1
2019Terrence Ross,2,3
2019Derrick Rose,0,0
2019Rajon Rondo,1,1
2019Glenn Robinson III,2,2
2019Mitchell Robinson,55,76
2019Jerome Robinson,1,1
2019Duncan Robinson,2,2
2019Devin Robinson,2,3
2019Austin Rivers,1,1
2019Malachi Richardson,0,0
2019Josh Richardson,9,12
2019Cam Reynolds,0,0
2019JJ Redick,0,0
2019Julius Randle,43,79
2019Chasson Randle,0,0
2019Ivan Rabb,7,7
2019Taurean Prince,10,20
2019Alex Poythress,2,3
2019Norman Powell,3,3
2019Dwight Powell,61,65
2019Bobby Portis,5,7
2019Quincy Pondexter,0,0
2019Jakob Poeltl,17,23
2019Miles Plumlee,8,11
2019Mason Plumlee,64,67
2019Theo Pinson,1,2
2019Elfrid Payton,1,1
2019Cameron Payne,2,2
2019Chris Paul,28,66
2019Patrick Patterson,2,2
2019Chandler Parsons,1,4
2019Tony Parker,1,2
2019Jabari Parker,34,38
2019Zaza Pachulia,3,3
2019Cedi Osman,0,0
2019Kelly Olynyk,1,1
2019Victor Oladipo,8,10
2019Josh Okogie,7,7
2019Elie Okobo,1,4
2019Jahlil Okafor,22,24
2019Semi Ojeleye,2,6
2019Kyle O'Quinn,0,1
2019Royce O'Neale,2,3
2019David Nwaba,0,2
2019Jusuf Nurkic,14,28
2019James Nunnally,0,0
2019Frank Ntilikina,0,0
2019Dirk Nowitzki,5,15
2019Nerlens Noel,27,31
2019Joakim Noah,3,3
2019Georges Niang,1,3
2019Raul Neto,3,6
2019Nene,0,2
2019Shabazz Napier,0,0
2019Abdel Nader,0,2
2019Svi Mykhailiuk,2,3
2019Mike Muscala,2,2
2019Dzanan Musa,0,4
2019Jamal Murray,3,3
2019Emmanuel Mudiay,1,1
2019Johnathan Motley,2,2
2019Monte Morris,12,14
2019Markieff Morris,7,8
2019Eric Moreland,1,1
2019E'Twaun Moore,6,16
2019Greg Monroe,0,0
2019Malik Monk,7,7
2019Naz Mitrou-Long,0,0
2019Donovan Mitchell,9,9
2019Nikola Mirotic,3,3
2019Shake Milton,0,0
2019Paul Millsap,11,11
2019Patty Mills,0,0
2019Malcolm Miller,8,18
2019Darius Miller,1,3
2019CJ Miles,1,5
2019Khris Middleton,2,2
2019Chimezie Metu,3,3
2019De'Anthony Melton,1,2
2019Salah Mejri,8,9
2019Jodie Meeks,0,0
2019Jordan McRae,0,0
2019Ben McLemore,1,2
2019Alfonzo McKinnie,16,17
2019JaVale McGee,106,112
2019Doug McDermott,4,6
2019CJ McCollum,0,0
2019Patrick McCaw,1,1
2019Luc Mbah a Moute,3,7
2019Wesley Matthews,0,0
2019Frank Mason III,2,3
2019Jarell Martin,1,1
2019Lauri Markkanen,11,11
2019Boban Marjanovic,23,29
2019Thon Maker,13,16
2019Ian Mahinmi,2,3
2019Daryl Macon,1,3
2019Shelvin Mack,0,0
2019Trey Lyles,8,15
2019Tyler Lydon,3,7
2019Timothe Luwawu-Cabarrot,1,2
2019Jordan Loyd,2,3
2019Kyle Lowry,0,0
2019Kevin Love,1,1
2019Robin Lopez,12,14
2019Brook Lopez,10,12
2019Kevon Looney,13,17
2019Shaun Livingston,2,4
2019Jeremy Lin,6,10
2019Damian Lillard,1,2
2019Jon Leuer,1,1
2019Meyers Leonard,28,32
2019Kawhi Leonard,4,4
2019Alex Len,77,90
2019Damion Lee,2,3
2019Courtney Lee,1,1
2019Caris LeVert,6,8
2019Jake Layman,27,32
2019Jeremy Lamb,5,6
2019Skal Labissiere,1,1
2019Zach LaVine,9,12
2019Kyle Kuzma,7,7
2019Rodions Kurucs,7,11
2019Kosta Koufos,4,6
2019Kyle Korver,0,0
2019Luke Kornet,4,6
2019Furkan Korkmaz,0,3
2019Kevin Knox II,4,6
2019Brandon Knight,0,0
2019Maxi Kleber,12,12
2019Michael Kidd-Gilchrist,7,9
2019Luke Kennard,0,0
2019Frank Kaminsky,1,1
2019Cory Joseph,0,0
2019DeAndre Jordan,94,114
2019Tyus Jones,0,0
2019Jemerrio Jones,1,3
2019Jalen Jones,0,0
2019Damian Jones,21,23
2019Nikola Jokic,48,73
2019Wesley Johnson,2,4
2019Tyler Johnson,0,0
2019Stanley Johnson,9,12
2019James Johnson,2,7
2019Amir Johnson,5,6
2019Alize Johnson,0,1
2019Jonas Jerebko,2,2
2019John Jenkins,0,0
2019Amile Jefferson,2,4
2019LeBron James,10,11
2019Reggie Jackson,0,0
2019Justin Jackson,1,1
2019Josh Jackson,8,17
2019Frank Jackson,6,8
2019Demetrius Jackson,0,0
2019Wes Iwundu,2,3
2019Jonathan Isaac,17,19
2019Kyrie Irving,48,85
2019Brandon Ingram,7,8
2019Joe Ingles,0,0
2019Ersan Ilyasova,0,0
2019Andre Iguodala,26,26
2019Serge Ibaka,24,27
2019Chandler Hutchison,6,9
2019Isaac Humphries,4,14
2019Kevin Huerter,7,7
2019Dwight Howard,2,2
2019Al Horford,23,26
2019Rodney Hood,5,12
2019Richaun Holmes,37,42
2019Rondae Hollis-Jefferson,3,4
2019Justin Holiday,4,4
2019Jrue Holiday,14,33
2019Aaron Holiday,0,0
2019Solomon Hill,2,3
2019George Hill,2,2
2019Haywood Highsmith,0,0
2019Buddy Hield,31,77
2019Mario Hezonja,2,3
2019Willy Hernangomez,14,16
2019Juancho Hernangomez,3,4
2019Gordon Hayward,16,32
2019Udonis Haslem,0,0
2019Isaiah Hartenstein,0,1
2019Josh Hart,1,1
2019Shaquille Harrison,2,2
2019Andrew Harrison,0,0
2019Tobias Harris,8,10
2019Joe Harris,0,0
2019Gary Harris,1,2
2019Devin Harris,0,0
2019Montrezl Harrell,36,54
2019Maurice Harkless,5,11
2019James Harden,0,0
2019Daniel Hamilton,0,0
2019Blake Griffin,9,11
2019Jeff Green,13,15
2019JaMychal Green,10,20
2019Gerald Green,4,5
2019Draymond Green,7,8
2019Danny Green,0,0
2019Jerian Grant,3,4
2019Jerami Grant,38,42
2019Treveon Graham,1,2
2019Devonte' Graham,0,0
2019Marcin Gortat,2,3
2019Eric Gordon,1,2
2019Aaron Gordon,34,37
2019Brandon Goodwin,0,0
2019Rudy Gobert,190,212
2019Shai Gilgeous-Alexander,2,3
2019Harry Giles III,18,22
2019Taj Gibson,26,27
2019Paul George,12,12
2019Rudy Gay,15,29
2019Pau Gasol,0,1
2019Marc Gasol,4,6
2019Billy Garrett,0,0
2019Langston Galloway,0,0
2019Danilo Gallinari,5,6
2019Channing Frye,0,0
2019Enes Freedom,7,8
2019Jimmer Fredette,0,0
2019Tim Frazier,3,4
2019De'Aaron Fox,15,34
2019Evan Fournier,0,0
2019Bryn Forbes,5,15
2019Dorian Finney-Smith,19,25
2019Yogi Ferrell,0,0
2019Terrance Ferguson,7,8
2019Raymond Felton,0,0
2019Cristiano Felicio,22,28
2019Derrick Favors,88,98
2019Kenneth Faried,14,22
2019Dante Exum,0,2
2019Tyreke Evans,7,11
2019Jawun Evans,0,0
2019Jacob Evans,0,0
2019Drew Eubanks,8,9
2019James Ennis III,4,7
2019Joel Embiid,34,38
2019Wayne Ellington,2,3
2019Henry Ellenson,1,1
2019Kevin Durant,25,27
2019Kris Dunn,2,2
2019Jared Dudley,0,0
2019Andre Drummond,103,120
2019Goran Dragic,2,5
2019Damyean Dotson,0,2
2019Tyler Dorsey,0,0
2019Luka Doncic,1,2
2019Spencer Dinwiddie,0,0
2019Gorgui Dieng,10,11
2019Hamidou Diallo,2,2
2019Cheick Diallo,0,2
2019Donte DiVincenzo,2,2
2019Marcus Derrickson,0,1
2019Luol Deng,0,0
2019Matthew Dellavedova,0,0
2019Sam Dekker,4,6
2019Dewayne Dedmon,25,27
2019DeMar DeRozan,22,52
2019Ed Davis,20,23
2019Deyonta Davis,1,3
2019Anthony Davis,80,120
2019Troy Daniels,2,4
2019Stephen Curry,0,1
2019Seth Curry,0,0
2019Dante Cunningham,2,4
2019Jae Crowder,4,4
2019Mitchell Creek,0,0
2019Jamal Crawford,0,0
2019Torrey Craig,5,5
2019Allen Crabbe,0,1
2019Robert Covington,2,4
2019DeMarcus Cousins,10,10
2019Quinn Cook,0,0
2019Pat Connaughton,6,8
2019Mike Conley,0,0
2019Bonzie Colson,1,1
2019Darren Collison,0,0
2019Zach Collins,13,15
2019John Collins,87,101
2019Jordan Clarkson,1,2
2019Ian Clark,2,4
2019Gary Clark,1,1
2019Marquese Chriss,10,13
2019Chris Chiozza,2,3
2019Wilson Chandler,0,0
2019Tyson Chandler,20,23
2019Tyler Cavanaugh,0,0
2019Willie Cauley-Stein,59,79
2019Omri Casspi,1,1
2019Alex Caruso,3,6
2019Michael Carter-Williams,0,0
2019Vince Carter,2,3
2019Jevon Carter,0,0
2019DeMarre Carroll,0,0
2019Clint Capela,152,164
2019Isaiah Canaan,1,1
2019Kentavious Caldwell-Pope,0,0
2019Jose Calderon,0,0
2019Bruno Caboclo,5,7
2019Jimmy Butler,28,30
2019Deonte Burton,2,2
2019Alec Burks,0,0
2019Trey Burke,0,0
2019Reggie Bullock,0,0
2019Thomas Bryant,56,59
2019Jalen Brunson,0,0
2019Sterling Brown,7,7
2019Lorenzo Brown,2,2
2019Jaylen Brown,5,7
2019Bruce Brown,7,10
2019MarShon Brooks,2,7
2019Dillon Brooks,0,1
2019Malcolm Brogdon,0,0
2019Ryan Broekhoff,0,0
2019Isaiah Briscoe,0,0
2019Miles Bridges,30,37
2019Mikal Bridges,0,0
2019Corey Brewer,3,4
2019Tony Bradley,1,1
2019Avery Bradley,1,1
2019Chris Boucher,1,1
2019Devin Booker,1,2
2019Isaac Bonga,1,2
2019Jonah Bolden,1,2
2019Andrew Bogut,2,4
2019Bojan Bogdanovic,2,2
2019Bogdan Bogdanovic,0,0
2019Jaron Blossomgame,5,6
2019Eric Bledsoe,1,1
2019Antonio Blakeney,4,11
2019Nemanja Bjelica,13,20
2019Bismack Biyombo,5,6
2019Khem Birch,14,17
2019Patrick Beverley,1,3
2019Davis Bertans,1,1
2019Dairis Bertans,0,0
2019Dragan Bender,1,1
2019DeAndre' Bembry,9,11
2019Jordan Bell,6,6
2019Marco Belinelli,0,0
2019Michael Beasley,3,8
2019Malik Beasley,4,5
2019Bradley Beal,12,14
2019Kent Bazemore,3,3
2019Aron Baynes,8,11
2019Jerryd Bayless,2,3
2019Nicolas Batum,9,26
2019Keita Bates-Diop,2,2
2019Will Barton,7,13
2019Harrison Barnes,7,9
2019Mo Bamba,7,8
2019Lonzo Ball,4,5
2019Wade Baldwin IV,0,2
2019Ron Baker,0,0
2019Marvin Bagley III,30,42
2019Dwayne Bacon,3,6
2019Deandre Ayton,73,77
2019Trevor Ariza,4,4
2019Ryan Arcidiacono,0,0
2019Carmelo Anthony,0,0
2019Giannis Antetokounmpo,106,123
2019Ryan Anderson,0,0
2019Kyle Anderson,0,0
2019Justin Anderson,1,2
2019Al-Farouq Aminu,9,11
2019Kadeem Allen,1,1
2019Jarrett Allen,79,88
2019Grayson Allen,2,3
2019Rawle Alkins,0,0
2019LaMarcus Aldridge,54,91
2019Deng Adel,0,0
2019Bam Adebayo,61,67
2019Steven Adams,68,81
2019Jaylen Adams,0,1
2019Quincy Acy,0,0
2019Alex Abrines,0,0
2020Ivica Zubac,31,34
2020Ante Zizic,0,1
2020Cody Zeller,14,20
2020Trae Young,0,0
2020Thaddeus Young,2,3
2020Justin Wright-Foreman,0,0
2020Delon Wright,4,7
2020Christian Wood,33,39
2020Zion Williamson,42,51
2020Nigel Williams-Goss,1,1
2020Robert Williams III,16,19
2020Marvin Williams,3,6
2020Lou Williams,52,119
2020Kenrich Williams,2,2
2020Johnathan Williams,0,0
2020Grant Williams,1,3
2020Andrew Wiggins,10,10
2020Hassan Whiteside,62,66
2020Derrick White,2,4
2020Coby White,1,2
2020Russell Westbrook,29,56
2020Quinndary Weatherspoon,0,0
2020Paul Watson,4,9
2020Tremont Waters,0,1
2020Yuta Watanabe,0,0
2020Brad Wanamaker,4,4
2020Tyrone Wallace,0,0
2020Lonnie Walker IV,3,5
2020Kemba Walker,0,0
2020Dion Waiters,0,2
2020Moritz Wagner,2,2
2020Dean Wade,2,2
2020Nikola Vucevic,14,15
2020Noah Vonleh,1,1
2020Gabe Vincent,0,1
2020Jarred Vanderbilt,0,0
2020Fred VanVleet,0,0
2020Denzel Valentine,0,0
2020Jonas Valanciunas,24,26
2020Jarrod Uthoff,0,0
2020Myles Turner,16,18
2020Evan Turner,0,0
2020Rayjon Tucker,1,1
2020Allonzo Trier,0,0
2020Karl-Anthony Towns,19,28
2020Juan Toscano-Anderson,3,6
2020Anthony Tolliver,0,0
2020Matisse Thybulle,3,6
2020Sindarius Thornwell,0,0
2020Tristan Thompson,48,54
2020Matt Thomas,0,1
2020Lance Thomas,0,0
2020Khyri Thomas,0,4
2020Isaiah Thomas,2,9
2020Daniel Theis,24,34
2020Garrett Temple,0,0
2020Jeff Teague,3,5
2020Jayson Tatum,30,69
2020Caleb Swanigan,2,3
2020Edmond Sumner,1,1
2020Tony Snell,1,4
2020Zhaire Smith,0,3
2020JR Smith,0,0
2020Ish Smith,0,0
2020Marcus Smart,7,15
2020Alen Smailagic,0,0
2020Anfernee Simons,3,3
2020Ben Simmons,35,36
2020Chris Silva,15,16
2020Pascal Siakam,4,4
2020Iman Shumpert,0,0
2020Landry Shamet,0,0
2020Collin Sexton,0,0
2020Thabo Sefolosha,2,3
2020Mike Scott,0,0
2020Dennis Schroder,0,0
2020Admiral Schofield,0,1
2020Tomas Satoransky,2,3
2020Dario Saric,16,25
2020JaKarr Sampson,1,1
2020Luka Samanic,4,9
2020Domantas Sabonis,9,9
2020D'Angelo Russell,0,0
2020Ricky Rubio,0,0
2020Terry Rozier,16,48
2020Terrence Ross,2,2
2020Derrick Rose,4,8
2020Rajon Rondo,0,0
2020Glenn Robinson III,11,15
2020Mitchell Robinson,150,170
2020Jerome Robinson,7,10
2020Duncan Robinson,0,0
2020Andre Roberson,3,13
2020Austin Rivers,1,2
2020Josh Richardson,1,1
2020Naz Reid,1,5
2020JJ Redick,0,0
2020Cam Reddish,4,8
2020Julius Randle,9,12
2020Chasson Randle,0,0
2020Taurean Prince,1,1
2020Norman Powell,6,12
2020Dwight Powell,34,37
2020Kristaps Porzingis,28,32
2020Bobby Portis,2,2
2020Jordan Poole,0,0
2020Vincent Poirier,4,4
2020Jakob Poeltl,15,17
2020Mason Plumlee,28,32
2020Norvel Pelle,7,9
2020Gary Payton II,1,2
2020Elfrid Payton,1,1
2020Cameron Payne,4,4
2020Chris Paul,0,0
2020Patrick Patterson,4,6
2020Anzejs Pasecniks,5,8
2020Eric Paschall,19,22
2020Chandler Parsons,0,1
2020Jabari Parker,32,35
2020Jeremy Pargo,1,6
2020Cedi Osman,0,0
2020Miye Oni,0,0
2020Kelly Olynyk,0,0
2020Victor Oladipo,1,5
2020Josh Okogie,6,9
2020Elie Okobo,1,4
2020Jahlil Okafor,1,2
2020Semi Ojeleye,1,1
2020Kyle O'Quinn,2,2
2020Royce O'Neale,3,3
2020Jusuf Nurkic,3,4
2020Kendrick Nunn,3,5
2020Frank Ntilikina,0,0
2020Jaylen Nowell,0,1
2020Nerlens Noel,74,80
2020Joakim Noah,1,2
2020Georges Niang,0,2
2020Raul Neto,0,0
2020Shabazz Napier,3,4
2020Abdel Nader,2,4
2020Svi Mykhailiuk,3,5
2020Mike Muscala,1,2
2020Dzanan Musa,0,0
2020Jamal Murray,3,4
2020Dejounte Murray,8,12
2020Mychal Mulder,0,0
2020Emmanuel Mudiay,0,1
2020Johnathan Motley,0,1
2020Monte Morris,0,0
2020Markieff Morris,7,15
2020Juwan Morgan,0,1
2020Ja Morant,9,12
2020E'Twaun Moore,0,1
2020Malik Monk,13,14
2020Adam Mokoka,6,16
2020Naz Mitrou-Long,1,1
2020Donovan Mitchell,11,28
2020Shake Milton,0,0
2020Paul Millsap,5,5
2020Patty Mills,1,3
2020Malcolm Miller,0,0
2020CJ Miles,0,0
2020Khris Middleton,1,1
2020Chimezie Metu,1,1
